,Artist,Album,Title,PlayDuration,AlbumPlayDuration,Stickiness
2805,VAVA,21,Back In My Zone,18365.9575,253596.87666666668,0.07242186000634629
2806,VAVA,21,Ego (feat. Blow Fever & 劉柏辛Lexie),5169.082777777778,253596.87666666668,0.020383069561902112
2807,VAVA,21,Get It On The Floor,24305.731111111112,253596.87666666668,0.09584396870573095
2808,VAVA,21,Happy Everyday,37441.912777777776,253596.87666666668,0.14764343027375787
2809,VAVA,21,Life's a struggle,31138.022222222222,253596.87666666668,0.12278551152327764
2810,VAVA,21,On My Way (Outro),7261.664444444445,253596.87666666668,0.02863467618329281
2811,VAVA,21,Rap Star,27843.409722222223,253596.87666666668,0.10979397730840437
2812,VAVA,21,U Should Know My Name (Intro),27051.62388888889,253596.87666666668,0.10667175496978278
2813,VAVA,21,我的新衣 (feat. 王倩倩 & TY),68332.34333333334,253596.87666666668,0.2694526219388375
2814,VAVA,21,網紅,930.6280555555556,253596.87666666668,0.0036697141849218974
2815,VAVA,21,讓 (feat. Evis Wy),5756.5008333333335,253596.87666666668,0.022699415343745755
